	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
0	[-1.4329347610473633, -15.304794311523438, -5.337340354919434, -1.5222320556640625, -3.1596603393554688, -8.114130020141602]	[-1.4329347610473633, -15.304794311523438, -5.337340354919434, -7.022791385650635, -7.055359840393066, -5.528051376342773]	34.87109375	41.6812744140625	6.8101806640625
1	[-1.0107049942016602, -16.05925178527832, -9.018077850341797, -0.1308126449584961, -2.7775211334228516, -10.282737731933594]	[-2.0890655517578125, -15.705337524414062, -12.363876342773438, -12.531376838684082, -1.959855079650879, -10.584754943847656]	39.27910614013672	55.2342643737793	15.955158233642578
2	[-1.620265007019043, -16.51373863220215, -11.302159309387207, -0.655858039855957, -6.187623977661133, -10.540416717529297]	[-1.620265007019043, -16.51373863220215, -11.302159309387207, -7.873025417327881, -5.731715202331543, -11.502480506896973]	46.82006072998047	54.54338455200195	7.723323822021484
3	[-0.9335641860961914, -15.717392921447754, -8.38992691040039, -0.901219367980957, -0.9245376586914062, -10.53049087524414]	[-0.8595600128173828, -15.918270111083984, -14.087471008300781, -7.493046283721924, -0.0129547119140625, -12.88155746459961]	37.39712905883789	51.25285720825195	13.855728149414062
4	[-0.8209009170532227, -16.02592658996582, -6.882018089294434, -2.4954633712768555, -1.1264848709106445, -10.855255126953125]	[-0.5644416809082031, -17.29786491394043, -8.512468338012695, -9.984745025634766, -0.32715892791748047, -10.674613952636719]	38.206050872802734	47.36129379272461	9.155242919921875
5	[-0.7725715637207031, -16.568862915039062, -11.37696647644043, -0.5911235809326172, -2.225025177001953, -10.206167221069336]	[-0.7725715637207031, -16.568862915039062, -11.37696647644043, -10.592970848083496, -7.511432647705078, -1.4254913330078125, -9.768941879272461]	41.74071502685547	58.017242431640625	16.276527404785156
6	[-0.8209009170532227, -16.02592658996582, -6.882018089294434, -2.4954633712768555, -1.1264848709106445, -10.855255126953125]	[-0.5644416809082031, -17.29786491394043, -8.512468338012695, -8.982595443725586, -6.263990879058838, -1.3719816207885742, -10.7294921875]	38.206050872802734	53.72283935546875	15.516788482666016
7	[-1.620265007019043, -16.51373863220215, -11.302159309387207, -0.655858039855957, -6.187623977661133, -10.540416717529297]	[-1.620265007019043, -16.51373863220215, -11.302159309387207, -3.8274765014648438, -5.608148097991943, -3.224637985229492, -10.167110443115234]	46.82006072998047	52.26353454589844	5.443473815917969
8	[-1.0107049942016602, -16.05925178527832, -9.018077850341797, -0.1308126449584961, -2.7775211334228516, -10.282737731933594]	[-2.0890655517578125, -15.705337524414062, -12.363876342773438, -10.648237228393555, -5.7602434158325195, -1.6536626815795898, -10.639225959777832]	39.27910614013672	58.859649658203125	19.580543518066406
9	[-0.5791473388671875, -16.283458709716797, -10.747714042663574, -0.5357551574707031, -2.160615921020508, -10.091526985168457]	[-0.5791473388671875, -16.283458709716797, -10.747714042663574, -10.822870254516602, -7.862109661102295, -1.3767871856689453, -9.654106140136719]	40.39822006225586	57.326194763183594	16.927974700927734
10	[-1.7524032592773438, -15.818342208862305, -12.84654712677002, -2.195855140686035, -2.3517723083496094, -12.165995597839355]	[-1.7524032592773438, -15.818342208862305, -12.84654712677002, -9.425676345825195, -0.25821495056152344, -12.233794212341309]	47.130916595458984	52.33497619628906	5.204059600830078
11	[-1.4329347610473633, -15.304794311523438, -5.337340354919434, -1.5222320556640625, -3.1596603393554688, -8.114130020141602]	[-1.4329347610473633, -15.304794311523438, -5.337340354919434, -2.69888973236084, -6.62686824798584, -4.429963111877441, -5.650674819946289]	34.87109375	41.481468200683594	6.610374450683594
12	[-0.7725715637207031, -16.568862915039062, -11.37696647644043, -0.5911235809326172, -2.225025177001953, -10.206167221069336]	[-0.7725715637207031, -16.568862915039062, -11.37696647644043, -7.74576997756958, -0.1661844253540039, -11.133668899536133]	41.74071502685547	47.7640266418457	6.023311614990234
13	[-2.5816431045532227, -17.33144760131836, -13.745267868041992, -0.07787895202636719, -0.6634197235107422, -11.62915325164795]	[-2.08591365814209, -17.93992805480957, -13.224648475646973, -12.771139144897461, -0.4278278350830078, -8.734919548034668]	46.02881622314453	55.18437957763672	9.155563354492188
14	[-1.3160762786865234, -17.680442810058594, -12.91697883605957, -0.148956298828125, -0.8697891235351562, -11.781363487243652]	[-1.1093244552612305, -17.763957977294922, -11.655715942382812, -10.787589073181152, -0.018306732177734375, -12.37304401397705]	44.71360778808594	53.70793914794922	8.994331359863281
15	[-0.5791473388671875, -16.283458709716797, -10.747714042663574, -0.5357551574707031, -2.160615921020508, -10.091526985168457]	[-0.5791473388671875, -16.283458709716797, -10.747714042663574, -7.488338470458984, -0.17463302612304688, -10.910821914672852]	40.39822006225586	46.184112548828125	5.785892486572266
16	[-1.8801794052124023, -16.388206481933594, -7.5679144859313965, -1.7223873138427734, -2.1829395294189453, -10.565633773803711]	[-1.2490673065185547, -16.340044021606445, -7.759772300720215, -3.43851375579834, -5.863892078399658, -0.8259468078613281, -8.982946395874023]	40.30725860595703	44.460182189941406	4.152923583984375
17	[-2.5816431045532227, -17.33144760131836, -13.745267868041992, -0.07787895202636719, -0.6634197235107422, -11.62915325164795]	[-2.08591365814209, -17.93992805480957, -13.224648475646973, -12.884477615356445, -6.097290515899658, -0.3429546356201172, -9.372882843017578]	46.02881622314453	61.948097229003906	15.919281005859375
18	[-1.2481908798217773, -14.931671142578125, -10.104236602783203, -1.0530118942260742, -2.9360504150390625, -10.250499725341797]	[-0.9814538955688477, -17.5165958404541, -10.427332878112793, -11.433731079101562, -4.5992431640625, -0.8033819198608398, -11.034896850585938]	40.52366256713867	56.796634674072266	16.272972106933594
19	[-1.3160762786865234, -17.680442810058594, -12.91697883605957, -0.148956298828125, -0.8697891235351562, -11.781363487243652]	[-1.1093244552612305, -17.763957977294922, -11.655715942382812, -10.822770118713379, -8.408711433410645, -0.30985355377197266, -11.097747802734375]	44.71360778808594	61.1680793762207	16.454471588134766
20	[-0.9335641860961914, -15.717392921447754, -8.38992691040039, -0.901219367980957, -0.9245376586914062, -10.53049087524414]	[-0.8595600128173828, -15.918270111083984, -14.087471008300781, -7.876307010650635, -7.558074951171875, -0.6953582763671875, -8.529156684875488]	37.39712905883789	55.524200439453125	18.127071380615234
21	[-1.7524032592773438, -15.818342208862305, -12.84654712677002, -2.195855140686035, -2.3517723083496094, -12.165995597839355]	[-1.7524032592773438, -15.818342208862305, -12.84654712677002, -8.095752716064453, -6.245654106140137, -1.6558685302734375, -10.681318283081055]	47.130916595458984	57.09588623046875	9.964969635009766
22	[-1.2481908798217773, -14.931671142578125, -10.104236602783203, -1.0530118942260742, -2.9360504150390625, -10.250499725341797]	[-0.9814538955688477, -17.5165958404541, -10.427332878112793, -9.163955688476562, -0.1526784896850586, -11.968307495117188]	40.52366256713867	50.210323333740234	9.686660766601562
23	[-1.1415681838989258, -15.309428215026855, -7.155115127563477, -2.15704345703125, -2.663145065307617, -8.93122673034668]	[-1.1415681838989258, -15.309428215026855, -7.155115127563477, -2.390202522277832, -5.904379367828369, -3.3933658599853516, -7.502089023590088]	37.35752868652344	42.796146392822266	5.438617706298828
24	[-1.8801794052124023, -16.388206481933594, -7.5679144859313965, -1.7223873138427734, -2.1829395294189453, -10.565633773803711]	[-1.2490673065185547, -16.340044021606445, -7.759772300720215, -8.79549503326416, -3.9480743408203125, -8.81236457824707]	40.30725860595703	46.904815673828125	6.597557067871094
25	[-1.5767574310302734, -14.97672176361084, -10.805145263671875, -0.3126974105834961, -1.1530933380126953, -10.229701042175293]	[-1.7414989471435547, -15.091355323791504, -4.512883186340332, -1.8824968338012695, -5.020027160644531, -3.4717607498168945, -6.986740589141846]	39.054115295410156	38.70676040649414	-0.3473548889160156
26	[-1.1415681838989258, -15.309428215026855, -7.155115127563477, -2.15704345703125, -2.663145065307617, -8.93122673034668]	[-1.1415681838989258, -15.309428215026855, -7.155115127563477, -8.70009994506836, -4.626206398010254, -8.339120864868164]	37.35752868652344	45.271541595458984	7.914012908935547
27	[-1.5767574310302734, -14.97672176361084, -10.805145263671875, -0.3126974105834961, -1.1530933380126953, -10.229701042175293]	[-1.7414989471435547, -15.091355323791504, -4.512883186340332, -4.938390254974365, -7.136190414428711, -8.144342422485352]	39.054115295410156	41.564659118652344	2.5105438232421875
28	[-1.151738166809082, -17.519445419311523, -13.327325820922852, -0.7784004211425781, -0.31371116638183594, -11.61636734008789]	[-1.151738166809082, -17.519445419311523, -13.327325820922852, -1.12945556640625, -0.32918548583984375, -11.473424911499023]	44.70698928833008	44.930572509765625	0.22358322143554688
29	[-2.9199628829956055, -15.068876266479492, -13.621546745300293, -0.3368825912475586, -2.218090057373047, -11.146932601928711]	[-2.6580772399902344, -16.069049835205078, -13.011899948120117, -3.0324907302856445, -1.0140037536621094, -10.91832447052002]	45.31229019165039	46.7038459777832	1.3915557861328125
30	[-1.0047540664672852, -17.31050682067871, -8.735397338867188, -2.7962417602539062, -0.3121452331542969, -10.222301483154297]	[-1.154627799987793, -17.08118438720703, -8.247632026672363, -5.778210639953613, -0.3827705383300781, -9.99569320678711]	40.38134765625	42.64011764526367	2.258769989013672
31	[-1.8084526062011719, -17.685184478759766, -15.630772590637207, -0.05446910858154297, -2.5423622131347656, -11.897732734680176]	[-1.0205469131469727, -17.123409271240234, -12.821386337280273, -5.326020240783691, -3.441162109375, -10.922805786132812]	49.61897277832031	50.65532684326172	1.0363540649414062
32	[-0.7616195678710938, -17.778377532958984, -9.171405792236328, -3.6598100662231445, -0.9272012710571289, -9.54818344116211]	[-0.7616195678710938, -17.778377532958984, -9.171405792236328, -4.144484519958496, -1.2935352325439453, -10.447407722473145]	41.846595764160156	43.596832275390625	1.7502365112304688
33	[-1.615920066833496, -16.085298538208008, -11.318294525146484, -0.10820579528808594, -2.2093448638916016, -10.380043029785156]	[-1.615920066833496, -16.085298538208008, -11.318294525146484, -3.8801088333129883, -1.6698322296142578, -10.122920989990234]	41.71710968017578	44.69237518310547	2.9752655029296875
34	[-1.1106138229370117, -16.691268920898438, -10.451897621154785, -1.4687271118164062, -0.5974617004394531, -9.63284683227539]	[-1.1106138229370117, -16.691268920898438, -10.451897621154785, -2.724681854248047, -0.12638282775878906, -10.31181526184082]	39.952816009521484	41.41666030883789	1.4638442993164062
35	[-1.9705772399902344, -16.642223358154297, -10.570902824401855, -1.7243719100952148, -1.8707408905029297, -9.682657241821289]	[-1.9705772399902344, -16.642223358154297, -10.570902824401855, -3.6740169525146484, -2.3892345428466797, -9.860288619995117]	42.46147537231445	45.10724639892578	2.645771026611328
36	[-3.3449325561523438, -15.836166381835938, -12.408690452575684, -0.04525566101074219, -3.23504638671875, -9.570165634155273]	[-3.3449325561523438, -15.836166381835938, -12.408690452575684, -4.588454246520996, -2.4610424041748047, -8.957304954528809]	44.44025421142578	47.59659194946289	3.1563377380371094
37	[-1.1278619766235352, -17.08412742614746, -15.363648414611816, -0.4569997787475586, -2.6535091400146484, -10.034280776977539]	[-1.1278619766235352, -17.08412742614746, -15.363648414611816, -2.5103750228881836, -0.5574531555175781, -11.259076118469238]	46.720428466796875	47.90254211425781	1.1821136474609375
38	[-1.9959487915039062, -16.712156295776367, -16.262392044067383, -0.28053855895996094, -4.3676910400390625, -11.942127227783203]	[-1.9959487915039062, -16.712156295776367, -16.262392044067383, -5.077561378479004, -3.9596099853515625, -9.828700065612793]	51.56085205078125	53.83636474609375	2.2755126953125
39	[-2.9949522018432617, -16.45281219482422, -13.262892723083496, -0.3847017288208008, -4.3910064697265625, -9.340625762939453]	[-2.9949522018432617, -16.45281219482422, -13.262892723083496, -6.49092960357666, -2.710489273071289, -10.093709945678711]	46.82699203491211	52.00578689575195	5.178794860839844
40	[-1.6021137237548828, -18.451932907104492, -13.749480247497559, -0.6001176834106445, -3.807541847229004, -11.319307327270508]	[-1.6021137237548828, -18.451932907104492, -13.749480247497559, -5.186192512512207, -2.634176254272461, -10.411369323730469]	49.53049087524414	52.0352668762207	2.5047760009765625
41	[-1.4198884963989258, -16.81331443786621, -11.55562973022461, -1.589463233947754, -5.0940351486206055, -10.97537899017334]	[-1.203221321105957, -17.37888526916504, -9.676981925964355, -4.077159881591797, -1.1882553100585938, -11.137514114379883]	47.44771194458008	44.662017822265625	-2.785694122314453
42	[-1.1162118911743164, -16.520221710205078, -7.566654205322266, -8.99380874633789, -0.1862316131591797, -1.4068279266357422, -10.575247764587402]	[-1.1162118911743164, -16.520221710205078, -7.566654205322266, -7.781887531280518, -1.357259750366211, -11.159366607666016]	46.365203857421875	45.50160217285156	-0.8636016845703125
43	[-0.49318790435791016, -15.685199737548828, -12.344605445861816, -4.393866539001465, -0.00234222412109375, -0.4675159454345703, -11.56568431854248]	[-0.49318790435791016, -15.685199737548828, -12.344605445861816, -4.393866539001465, -6.687228202819824, -10.888425827026367]	44.9524040222168	50.492515563964844	5.540111541748047
44	[-2.1092166900634766, -16.165306091308594, -8.713531494140625, -7.8732829093933105, -0.8469772338867188, -1.3591947555541992, -10.383456230163574]	[-2.1092166900634766, -16.165306091308594, -8.713531494140625, -7.8732829093933105, -2.294356346130371, -1.524907112121582, -10.36839485168457]	47.450965881347656	49.04899597167969	1.5980300903320312
45	[-0.38125133514404297, -16.039039611816406, -11.154275894165039, -4.948858261108398, -1.621480941772461, -10.337461471557617]	[-0.38125133514404297, -16.039039611816406, -11.154275894165039, -7.7459635734558105, -1.0264911651611328, -10.899078369140625]	44.48236846923828	47.24610137939453	2.76373291015625
46	[-0.42143726348876953, -16.422637939453125, -9.951740264892578, -8.218093872070312, -0.4193897247314453, -11.30066204071045]	[-0.42143726348876953, -16.422637939453125, -9.951740264892578, -8.281578063964844, -0.6536350250244141, -11.091968536376953]	46.73396301269531	46.822998046875	0.0890350341796875
47	[-0.7854452133178711, -17.56812858581543, -10.494085311889648, -6.688704967498779, -2.210237503051758, -11.153002738952637]	[-0.7854452133178711, -17.56812858581543, -10.494085311889648, -7.784802436828613, -1.5108575820922852, -10.60951042175293]	48.89960479736328	48.75282669067383	-0.14677810668945312
48	[-1.4500131607055664, -17.981857299804688, -12.501899719238281, -8.342535972595215, -0.5630760192871094, -12.558159828186035]	[-1.4500131607055664, -17.981857299804688, -12.501899719238281, -9.235282897949219, -0.329681396484375, -12.064626693725586]	53.397544860839844	53.56336212158203	0.1658172607421875
49	[-1.7187976837158203, -17.336990356445312, -10.86056900024414, -1.4666557312011719, -4.409625053405762, -10.544958114624023]	[-1.7187976837158203, -17.336990356445312, -10.86056900024414, -2.875986099243164, -4.240567207336426, -10.010295867919922]	46.33759689331055	47.04320526123047	0.7056083679199219
50	[-1.0332269668579102, -15.02847957611084, -9.339052200317383, -4.409202575683594, -0.06859397888183594, -10.553853988647461]	[-1.0332269668579102, -15.02847957611084, -9.339052200317383, -6.481196403503418, -0.12633132934570312, -10.444540023803711]	40.432411193847656	42.45282745361328	2.020416259765625
51	[-1.3353652954101562, -16.2125244140625, -11.276857376098633, -1.5385990142822266, -0.11477279663085938, -1.223114013671875, -10.974002838134766]	[-1.3353652954101562, -16.2125244140625, -11.276857376098633, -1.5385990142822266, -3.186415672302246, -11.130345344543457]	42.67523193359375	44.68010711669922	2.0048751831054688
52	[-1.0069217681884766, -15.933662414550781, -9.9592924118042, -8.453109741210938, -0.6426534652709961, -11.401890754699707]	[-1.0069217681884766, -15.933662414550781, -9.9592924118042, -11.281275749206543, -0.19147872924804688, -11.127052307128906]	47.39752960205078	49.49968338012695	2.102153778076172
53	[-1.3321304321289062, -16.693614959716797, -11.175474166870117, -0.5338010787963867, -0.05375862121582031, -12.133660316467285]	[-1.151188850402832, -16.466556549072266, -13.255330085754395, -0.18731021881103516, -2.538816452026367, -12.816001892089844]	41.92244338989258	46.41520309448242	4.492759704589844
54	[-1.2026710510253906, -16.061370849609375, -10.435240745544434, -8.093822479248047, -0.614532470703125, -10.599149703979492]	[-1.2026710510253906, -16.061370849609375, -10.435240745544434, -11.046490669250488, -0.5894670486450195, -10.899171829223633]	47.00678634643555	50.234413146972656	3.2276268005371094
55	[-1.7242116928100586, -16.994863510131836, -10.68332576751709, -7.609955787658691, -0.05232810974121094, -1.7019119262695312, -11.406275749206543]	[-1.7242116928100586, -16.994863510131836, -10.68332576751709, -7.609955787658691, -3.001619338989258, -1.4352169036865234, -11.343250274658203]	50.17287063598633	52.792442321777344	2.6195716857910156
56	[-1.5855979919433594, -16.98885726928711, -8.612298965454102, -2.722768783569336, -1.3680038452148438, -9.117002487182617]	[-1.5855979919433594, -16.98885726928711, -8.612298965454102, -6.669478416442871, -0.5853986740112305, -9.561954498291016]	40.39453125	44.00358581542969	3.6090545654296875
57	[-1.5364313125610352, -16.399208068847656, -11.257789611816406, -6.242022514343262, -1.415273666381836, -10.843674659729004]	[-1.5364313125610352, -16.399208068847656, -11.257789611816406, -7.729369163513184, -1.3446044921875, -10.86082935333252]	47.694400787353516	49.12823486328125	1.4338340759277344
58	[-1.617971420288086, -17.16560173034668, -9.055269241333008, -4.240090370178223, -2.107053756713867, -10.786397933959961]	[-1.617971420288086, -17.16560173034668, -9.055269241333008, -8.894594192504883, -2.1477394104003906, -10.505328178405762]	44.972381591796875	49.386505126953125	4.41412353515625
